iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative,excess_mortality
SWE,Europe,Sweden,9/23/2021,1148641,762,666.857,14813,4,8.571,113053.447,74.999,65.635,1457.95,0.394,0.844,1.14,44,4.331,299,29.429,18.692,1.84,,,37493,,,3.69,37493,3.69,0.029,35,tests performed,13569363,7115096,6452711,,37030,30842,133.55,70.03,63.51,,3036,37.04,10160159,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,,
CHE,Europe,Switzerland,9/23/2021,831881,1630,1557,11034,7,6.143,95448.52,187.023,178.647,1266.021,0.803,0.705,1.06,228,26.16,681,78.137,,,276,31.668,31457,10021691,1149.871,3.609,37367,4.287,0.059,16.9,tests performed,10230147,5426671,4679850,,33617,28773,117.38,62.26,53.7,,3301,44.44,8715494,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,,
SYR,Asia,Syria,9/23/2021,31741,315,226.857,2172,14,9.714,1736.787,17.236,12.413,118.846,0.766,0.532,1.23,,,,,,,,,,,,,,,,,,533949,285087,248862,,,9335,2.92,1.56,1.36,,511,,18275704,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,,
TWN,Asia,Taiwan,9/23/2021,16168,9,7.571,841,0,0.286,677.761,0.377,0.317,35.255,0,0.012,0.99,,,,,,,,,14406,3173829,133.047,0.604,18860,0.791,0,2444.9,people tested,13856466,11912534,1943932,,266699,131195,58.09,49.94,8.15,,5500,40.28,23855008,,42.2,,8.353,,,103.957,,,,,,80.46,,,
TJK,Asia,Tajikistan,9/23/2021,17484,0,0,125,0,0,1793.3,0,0,12.821,0,0,-0.14,,,,,,,,,,,,,,,,,,3872421,2307140,1565281,,,60806,39.72,23.66,16.05,,6237,29.63,9749625,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,,
TZA,Africa,Tanzania,9/23/2021,1367,0,0,50,0,0,22.228,0,0,0.813,0,0,0,,,,,,,,,,,,,,,,,,350000,350000,350000,,,3243,0.57,0.57,0.57,,53,,61498438,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,,
THA,Asia,Thailand,9/23/2021,1524613,13256,12910.857,15884,131,133,21795.491,189.505,184.57,227.074,1.873,1.901,0.93,,,,,,,,,41354,12894770,184.34,0.591,50234,0.718,0.293,3.4,tests performed,46023016,29501110,15899158,622748,811915,625131,65.79,42.17,22.73,0.89,8937,55.09,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,
TLS,Asia,Timor,9/23/2021,19264,58,58.286,109,1,1,14334.667,43.159,43.371,81.109,0.744,0.744,0.62,,,,,,,,,,194367,144.632,,809,0.602,0.164,6.1,tests performed,675891,424568,251323,,7881,4652,50.29,31.59,18.7,,3462,54.63,1343875,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,,
TGO,Africa,Togo,9/23/2021,24986,84,127.571,216,0,1,2947.073,9.908,15.047,25.477,0,0.118,0.98,,,,,,,,,1634,498619,58.812,0.193,1675,0.198,0.084,12,tests performed,832822,445041,387781,,,15073,9.82,5.25,4.57,,1778,50.93,8478242,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,,
TON,Oceania,Tonga,9/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73603,46126,27477,,,248,68.94,43.21,25.74,,2323,43.52,106759,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,,
TTO,North America,Trinidad and Tobago,9/23/2021,49442,331,216.714,1437,5,5.714,35230.808,235.86,154.424,1023.961,3.563,4.072,0.94,,,,,,,,,755,333526,237.66,0.538,1363,0.971,0.148,6.8,people tested,1037412,564315,473097,,4755,3934,73.92,40.21,33.71,,2803,83.33,1403374,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3,73.51,0.796,,
TUN,Africa,Tunisia,9/23/2021,703059,556,805.429,24676,22,41.857,58903.561,46.583,67.48,2067.4,1.843,3.507,0.94,,,,,,,,,9302,2874427,240.825,0.779,8269,0.693,0.093,10.7,people tested,7342484,4745368,3357086,,44623,46473,61.52,39.76,28.13,,3894,41.67,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,
TUR,Asia,Turkey,9/23/2021,6960267,27844,27612.714,62524,217,231.571,81844.345,327.412,324.692,735.207,2.552,2.723,1.12,,,,,,,,,346435,82744951,972.981,4.074,340155,4,0.081,12.4,tests performed,106893726,53185113,43002194,10706419,400962,410398,125.69,62.54,50.57,12.59,4826,,85042736,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,,
TCA,North America,Turks and Caicos Islands,9/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52374,27446,24928,,,77,133.52,69.97,63.55,,1963,,39226,37.312,,,,,,,,,,,,80.22,,,
TUV,Oceania,Tuvalu,9/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10861,6209,4652,,,11,91.08,52.07,39.01,,922,,11925,373.067,,,,3575.104,3.3,,27.25,,,,,67.57,,,
UGA,Africa,Uganda,9/23/2021,122591,89,115.286,3137,2,3.143,2601.482,1.889,2.446,66.57,0.042,0.067,0.48,,,,,,,,,3099,1650421,35.023,0.066,3411,0.072,0.033,30.3,samples tested,2058553,1643067,415486,,,29633,4.37,3.49,0.88,,629,81.48,47123533,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,,
UKR,Europe,Ukraine,9/23/2021,2476848,8281,5920.571,58895,141,107,56982.496,190.513,136.209,1354.941,3.244,2.462,1.4,,,,,,,,,41625,12593275,289.722,0.958,30850,0.71,0.188,5.3,tests performed,11979985,6624026,5355959,,153628,107190,27.56,15.24,12.32,,2466,50.93,43466822,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,,
ARE,Asia,United Arab Emirates,9/23/2021,733972,329,380.714,2083,3,2,73462.707,32.929,38.105,208.486,0.3,0.2,0.68,,,,,,,,,227935,80875407,8094.759,22.814,317737,31.802,0.002,638.2,tests performed,19713423,9178234,8110078,,60059,66608,197.31,91.86,81.17,,6667,39.35,9991083,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,
GBR,Europe,United Kingdom,9/23/2021,7601598,35847,32592.429,136156,195,146,111448.756,525.561,477.845,1996.214,2.859,2.141,1.03,943,13.826,7567,110.942,,,6962,102.071,1116116,263671147,3865.743,16.364,966042,14.163,0.03,33,tests performed,93274224,48674154,44600070,,73527,76440,136.75,71.36,65.39,,1121,41.2,68207114,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,81.32,0.932,,
USA,North America,United States,9/23/2021,42672241,128731,126619.714,684349,3157,2010.857,128177.557,386.678,380.336,2055.626,9.483,6.04,0.99,23337,70.099,82328,247.294,,,72411,217.506,1101828,558104328,1676.417,3.31,1420333,4.266,0.106,9.4,tests performed,387821704,212564346,182587334,2370839,327988,683329,115.31,63.2,54.29,0.7,2032,61.57,332915074,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,
URY,South America,Uruguay,9/23/2021,388191,123,127.429,6049,0,0.429,111384.238,35.293,36.563,1735.649,0,0.123,0.95,,,,,,,,,7639,3518631,1009.606,2.192,8049,2.31,0.016,61.8,tests performed,6127982,2724792,2561804,841386,28868,20673,175.83,78.18,73.51,24.14,5932,52.78,3485152,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,,2.8,77.91,0.817,,
UZB,Asia,Uzbekistan,9/23/2021,170520,531,553.714,1207,4,4.571,5024.787,15.647,16.317,35.567,0.118,0.135,0.91,,,,,,,,,,,,,,,,,,18526941,,3700000,,,185684,54.59,,10.9,,5472,59.26,33935765,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,,
VUT,Oceania,Vanuatu,9/23/2021,4,0,0,1,0,0,12.72,0,0,3.18,0,0,,,,,,,,,,,,,,,,,,,57184,42840,14344,,,938,18.18,13.62,4.56,,2983,22.22,314464,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,,
VAT,Europe,Vatican,9/23/2021,27,0,0,,,0,33251.232,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812,,,,,,,,,,,,,75.12,,,
VEN,South America,Venezuela,9/23/2021,358462,0,1095.286,4346,0,14.429,12487.813,0,38.157,151.402,0,0.503,1.14,,,,,,,,,,,,,,,,,,11094206,6822809,4271397,,,125099,38.65,23.77,14.88,,4358,,28704947,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,,
VNM,Asia,Vietnam,9/23/2021,728435,9472,10329.429,18017,236,227.429,7420.227,96.487,105.221,183.531,2.404,2.317,0.93,,,,,,,,,209988,18407857,187.512,2.139,259000,2.638,0.046,21.6,samples tested,35675840,28745680,6930160,,604126,631569,36.34,29.28,7.06,,6433,,98168829,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,,
WLF,Oceania,Wallis and Futuna,9/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10231,5215,5016,,,47,92.22,47.01,45.21,,4237,,11094,,,,,,,,,,,,,79.94,,,
OWID_WRL,,World,9/23/2021,230601553,513811,506471.857,4728852,9674,8331.857,29282.864,65.246,64.314,600.492,1.228,1.058,0.96,,,,,,,,,,,,,,,,,,6057667422,3477099162,2538999651,24634106,27347237,27976396,76.92,44.15,32.24,0.31,3553,,7874965732,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,,
YEM,Asia,Yemen,9/23/2021,8830,41,39,1664,6,6.429,289.597,1.345,1.279,54.574,0.197,0.211,1.08,,,,,,,,,,,,,,,,,,322934,308025,14909,,,244,1.06,1.01,0.05,,8,35.19,30490639,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,,
ZMB,Africa,Zambia,9/23/2021,208715,39,64,3641,2,0.714,11031.065,2.061,3.383,192.435,0.106,0.038,0.69,,,,,,,,,3969,2398197,126.75,0.21,6061,0.32,0.013,78.3,tests performed,670361,,,,,5356,3.54,,,,283,43.52,18920657,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.584,,
ZWE,Africa,Zimbabwe,9/23/2021,129134,330,252.286,4600,8,5.714,8556.357,21.866,16.716,304.794,0.53,0.379,1.11,,,,,,,,,2023,1214437,80.468,0.134,4279,0.284,0.056,17.9,tests performed,5166508,3007945,2158563,,42986,28887,34.23,19.93,14.3,,1914,65.74,15092171,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,
