iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative,excess_mortality
NCL,Oceania,New Caledonia,9/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206784,127322,79462,,,4282,71.75,44.18,27.57,,14857,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,
NZL,Oceania,New Zealand,9/23/2021,4145,9,18.571,27,0,0,852.768,1.852,3.821,5.555,0,0,0.85,,,,,,,,,19194,3287055,676.259,3.949,13735,2.826,0.001,686,tests performed,4917531,3192380,1725151,,53721,49390,101.17,65.68,35.49,,10161,81.02,4860642,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,,
NIC,North America,Nicaragua,9/23/2021,13730,0,100.714,203,0,0.143,2048.526,0,15.027,30.288,0,0.021,0.02,,,,,,,,,,,,,,,,,,769105,490472,278633,,,4836,11.48,7.32,4.16,,722,,6702379,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,,
NER,Africa,Niger,9/23/2021,5971,4,3.429,201,0,0,237.597,0.159,0.136,7.998,0,0,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25130810,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,,
NGA,Africa,Nigeria,9/23/2021,203514,433,451.143,2668,2,4,962.693,2.048,2.134,12.621,0.009,0.019,0.89,,,,,,,,,,2997060,14.177,,7783,0.037,0.049,20.6,samples tested,6255025,4474172,1780853,,,56613,2.96,2.12,0.84,,268,47.22,211400704,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,,
OWID_NAM,,North America,9/23/2021,51301051,161443,156308.714,1041983,4188,2823.286,85991.721,270.614,262.007,1746.59,7.02,4.732,,,,,,,,,,,,,,,,,,,607160154,341113373,275444445,3259981,454305,1778723,101.77,57.18,46.17,0.55,2982,,596581283,,,,,,,,,,,,,,,,
MKD,Europe,North Macedonia,9/23/2021,188635,522,455,6539,28,24.571,90574.03,250.641,218.471,3139.733,13.444,11.798,0.89,,,,,,,,,,1251483,600.906,,4149,1.992,0.116,8.6,tests performed,1482287,778409,703878,,7780,8389,71.17,37.38,33.8,,4028,,2082661,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,,,,4.28,75.8,0.774,,
NOR,Europe,Norway,9/23/2021,185330,721,699.714,850,0,1.286,33908.266,131.915,128.021,155.517,0,0.235,0.79,,,107,19.577,9.164,1.677,68.224,12.482,7898,7609645,1392.273,1.445,19722,3.608,0.045,22,people tested,7693893,4106694,3587199,,30445,21083,140.77,75.14,65.63,,3857,38.89,5465629,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,,
OWID_OCE,,Oceania,9/23/2021,167755,1950,1910.286,2036,16,17,3881.425,45.118,44.199,47.108,0.37,0.393,,,,,,,,,,,,,,,,,,,32790109,20090997,12699112,,437602,357053,75.87,46.49,29.38,,8261,,43219954,,,,,,,,,,,,,,,,
OMN,Asia,Oman,9/23/2021,303551,39,34.571,4093,0,0.143,58113.948,7.466,6.619,783.593,0,0.027,0.72,,,,,,,,,,,,,,,,,,4636486,2810262,1826224,,,42802,88.76,53.8,34.96,,8194,,5223376,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,,
PAK,Asia,Pakistan,9/23/2021,1234828,2233,2297,27482,50,58.571,5483.252,9.916,10.2,122.034,0.222,0.26,0.82,,,,,,,,,48151,19049329,84.589,0.214,52371,0.233,0.045,22.4,tests performed,76141484,56229457,25493964,,1005339,754887,33.81,24.97,11.32,,3352,62.96,225199929,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,,
PLW,Oceania,Palau,9/23/2021,5,0,0,,,0,275.118,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18174,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,,
PSE,Asia,Palestine,9/23/2021,392452,2083,1831,3980,12,15.571,75142.702,398.832,350.581,762.05,2.298,2.981,0.99,,,,,,,,,10057,,,1.926,10688,2.046,0.192,5.2,tests performed,2001407,1347092,654315,,34601,27314,38.32,25.79,12.53,,5230,87.04,5222756,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708,,
PAN,North America,Panama,9/23/2021,465471,324,287.429,7192,9,3.714,106233.523,73.946,65.599,1641.416,2.054,0.848,0.85,,,,,,,,,5195,3799405,867.131,1.186,6730,1.536,0.048,20.7,tests performed,5087853,2904686,2183167,,2941,13102,116.12,66.29,49.83,,2990,77.31,4381583,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,,
PNG,Oceania,Papua New Guinea,9/23/2021,19182,0,91.429,217,0,1.857,2103.519,0,10.026,23.796,0,0.204,0.4,,,,,,,,,,,,,,,,,,154710,114419,40291,,,2895,1.7,1.25,0.44,,317,37.04,9119005,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,,
PRY,South America,Paraguay,9/23/2021,459751,31,32.429,16139,1,2.714,63680.59,4.294,4.492,2235.43,0.139,0.376,0.84,,,,,,,,,2124,1816025,251.54,0.294,2202,0.305,0.024,42.2,tests performed,4401222,2550991,1850231,,,18596,60.96,35.33,25.63,,2576,49.07,7219641,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,0.728,,
PER,South America,Peru,9/23/2021,2170475,1048,870.714,199156,48,37.857,65063.341,31.415,26.101,5970.009,1.439,1.135,0.97,,,,,,,,,,,,,,,,,,24443018,14795237,9647781,,58362,204148,73.27,44.35,28.92,,6120,64.81,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,95.52,13.15
PHL,Asia,Philippines,9/23/2021,2434753,17334,18651.571,37405,177,198.143,21925.446,156.096,167.961,336.84,1.594,1.784,0.98,,,,,,,,,44682,19133985,172.305,0.402,71019,0.64,0.28,3.6,people tested,43088582,,23416857,,488457,367105,38.8,,21.09,,3306,75.46,111046910,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1,71.23,0.718,,
POL,Europe,Poland,9/23/2021,2900862,974,702.143,75537,14,10.429,76748.472,25.769,18.577,1998.492,0.37,0.276,1.3,,,1020,26.986,,,7.966,0.211,22207,20092593,531.592,0.588,37080,0.981,0.017,59.3,people tested,37104651,19730125,19340905,,31554,32280,98.17,52.2,51.17,,854,38.89,37797000,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,,
PRT,Europe,Portugal,9/23/2021,1064876,885,781,17938,5,7.143,104728.96,87.038,76.81,1764.175,0.492,0.702,0.72,86,8.458,455,44.749,,,57.279,5.633,36416,18007442,1771.005,3.581,57176,5.623,0.017,59.8,tests performed,15888462,8912232,8592804,,19479,34958,156.26,87.65,84.51,,3438,52.78,10167923,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.864,,
QAT,Asia,Qatar,9/23/2021,236016,109,118.429,604,0,0,80537.133,37.195,40.412,206.106,0,0,0.86,,,,,,,,,5141,2610510,890.8,1.754,5285,1.803,0.023,43.4,people tested,4681668,2360308,2218292,,5605,6824,159.76,80.54,75.7,,2329,55.56,2930524,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,,
